Month,Recto_Entry,Recto_Exit,Legarda_Entry,Legarda_Exit,Pureza_Entry,Pureza_Exit,VMapa_Entry,VMapa_Exit,JRuiz_Entry,JRuiz_Exit,Gilmore_Entry,Gilmore_Exit,BettyGo_Entry,BettyGo_Exit,Araneta_Entry,Araneta_Exit,Anonas_Entry,Anonas_Exit,Katipunan_Entry,Katipunan_Exit,Santolan_Entry,Santolan_Exit,Marikina_Entry,Marikina_Exit,Antipolo_Entry,Antipolo_Exit
Jan,303710,316035,29863,32772,52737,49181,55575,53296,19359,17694,48134,51585,15910,15129,158348,193822,47154,47943,76052,44747,45341,45261,84009,84506,144609,124763
Feb,394569,402839,43030,46435,70333,64626,70433,67123,25001,22432,60186,65478,20897,20493,208327,257549,63690,62854,100981,60896,58450,58222,114691,115090,189332,169621
Mar,522389,528711,63067,68185,97904,87751,97453,91563,35804,32170,81890,87070,29033,28611,296871,364968,92364,92642,138328,83777,77770,77765,164599,163369,264634,234338
Apr,456581,462541,56416,61362,86141,78943,86744,81989,31813,28948,72129,77675,25269,25666,282522,350989,83903,86261,122393,75186,70414,68831,152979,150208,244606,214525
May,585934,583597,75937,80437,110012,102664,116745,112137,40482,37445,90059,97259,31209,31339,389290,482185,115228,116479,159202,109897,91046,89521,204999,201593,335813,292411
Jun,632659,634853,94340,101210,122089,116273,128827,125560,45455,42843,102379,112451,33915,35519,440958,548385,135370,138183,179289,110704,100326,98060,241172,234236,373767,322548
Jul,670385,668781,110273,117421,128266,123032,142207,140613,48664,46832,108284,116939,36159,37012,449500,565755,144228,147120,191560,119221,105341,103655,260938,256537,396226,336053
Aug,754339,751125,169473,177125,141580,136595,157550,154647,53700,51746,114450,125850,41616,42267,482760,619381,161354,166608,219835,139648,115177,113445,298860,293292,429017,357281
Sep,777010,774001,209537,210099,142436,139299,167118,164611,56430,54696,113185,122397,44322,44919,506143,646978,179083,184235,234865,153760,116711,115391,323161,318505,447675,373424
Oct,833220,834590,232446,227274,164362,162121,188539,184389,60022,58842,113390,124281,46608,47330,559924,719884,201655,209141,254965,172295,131715,127955,364404,353571,502843,418795
Nov,840502,846413,238928,241502,166278,161228,189028,186678,63696,61984,111323,124836,48385,48445,566396,732368,202102,213648,256808,174302,135266,131760,377393,359977,523851,424114
Dec,859598,877291,194007,197527,161861,148767,195382,191135,62399,58533,111506,123972,48131,48242,599360,791998,197274,207338,255769,170528,147433,141002,398287,370696,572293,459132